"Cruise","Station","Deployment","Speed.mean","Speed.sd","Speed.max","Speed.min","Speed.median","over5","over10","over15","over20","over23"
"OR1_1096","GC1",3,0.0345950471369238,0.0182773575265503,0.101242283656583,0.002,0.0325729949498047,19.1933240611961,0.139082058414465,0,0,0
"OR1_1096","GC2",3,0.0900602179225639,0.039445900846964,0.234350165350912,0.00632455532033676,0.0870057469366248,84.7009735744089,37.413073713491,8.6230876216968,0.417246175243394,0.139082058414465
"OR1_1096","GC3",1,0.0745231549726358,0.0399043293413741,0.208019229880317,0.005,0.0710633520177595,68.567454798331,24.0611961057024,4.17246175243394,0.278164116828929,0
"OR1_1096","GS1",2,0.0628889567173499,0.0330317014405076,0.184133104030753,0.00282842712474619,0.0600832755431992,61.3351877607789,12.2392211404729,1.66898470097357,0,0
"OR1_1096","GS2",2,0.0664063854155888,0.0373529247841514,0.190559701930917,0.00412310562561766,0.06000833275471,61.1961057023644,18.6369958275382,2.92072322670376,0,0
"OR1_1096","GS3",1,0.0475695034991524,0.0245607183539038,0.131461020838878,0.002,0.0436806593356831,41.7246175243394,3.05980528511822,0,0,0
"OR1_1099","GC1",1,0.144563910070122,0.109917573440296,0.522108226328603,0.00223606797749979,0.118357020706464,78.0555555555556,56.25,40,26.8055555555556,21.1111111111111
"OR1_1099","GS1",1,0.0779875007212223,0.0483583604389842,0.289456387043022,0.001,0.0691590699004992,66.5277777777778,27.6388888888889,9.44444444444444,1.66666666666667,0.416666666666667
"OR1_1102","GC1",2,0.098562438990105,0.056008801794775,0.282200283486746,0.003,0.0903492888588532,78.4722222222222,43.0555555555556,18.1944444444444,6.52777777777778,1.52777777777778
"OR1_1102","GC2",1,0.0882078083505166,0.0585115733724899,0.324052464888018,0.00223606797749979,0.0732597579016379,71.9444444444444,32.5,14.0277777777778,6.52777777777778,4.02777777777778
"OR1_1102","GC3",1,0.0892471540105137,0.0439737366417486,0.226126071031184,0.00509901951359279,0.0834595666967159,79.8611111111111,39.1666666666667,10.5555555555556,0.833333333333333,0
"OR1_1102","GC4",1,0.0833186628531411,0.0445984916305447,0.276305989801162,0.002,0.0751730484590278,76.1111111111111,32.3611111111111,8.88888888888889,1.25,0.138888888888889
"OR1_1102","GS1",1,0.0853484759797277,0.0471932833101285,0.282086866053703,0.003,0.0781024967590665,74.4444444444444,33.6111111111111,10.4166666666667,2.08333333333333,0.555555555555556
"OR1_1102","GS2",1,0.0623898972910685,0.0345193001089236,0.190252463847384,0.001,0.0598581447101117,58.75,14.7222222222222,1.52777777777778,0,0
"OR1_1102","GS3",1,0.0591135667722778,0.0282235778905528,0.178193714816208,0.001,0.0559598053997118,59.8611111111111,9.02777777777778,0.277777777777778,0,0
"OR1_1102","GS4",1,0.0938086491827117,0.0439206656718776,0.214406156628022,0.001,0.0911454375375968,81.3888888888889,42.9166666666667,10.8333333333333,0.416666666666667,0
"OR1_1114","GC1",1,0.106518983366869,0.0578798988096873,0.270046292327816,0.00447213595499958,0.0953047690786659,83.0555555555556,47.7777777777778,24.4444444444444,8.47222222222222,2.5
"OR1_1114","GC1",2,0.106518983366869,0.0578798988096873,0.270046292327816,0.00447213595499958,0.0953047690786659,83.0555555555556,47.7777777777778,24.4444444444444,8.47222222222222,2.5
"OR1_1114","GC1",3,0.106518983366869,0.0578798988096873,0.270046292327816,0.00447213595499958,0.0953047690786659,83.0555555555556,47.7777777777778,24.4444444444444,8.47222222222222,2.5
"OR1_1114","GC1",5,0.106518983366869,0.0578798988096873,0.270046292327816,0.00447213595499958,0.0953047690786659,83.0555555555556,47.7777777777778,24.4444444444444,8.47222222222222,2.5
"OR1_1114","GC2",1,0.101148812246256,0.0615346369714612,0.344605571632265,0.0014142135623731,0.0910054943396277,76.3888888888889,43.8888888888889,20.2777777777778,7.22222222222222,3.05555555555556
"OR1_1114","GC3",2,0.0917839901535139,0.0470572756251628,0.237200337267888,0.003,0.0873012004394911,80.1388888888889,38.0555555555556,12.9166666666667,1.80555555555556,0.138888888888889
"OR1_1114","GC3",4,0.0917839901535139,0.0470572756251628,0.237200337267888,0.003,0.0873012004394911,80.1388888888889,38.0555555555556,12.9166666666667,1.80555555555556,0.138888888888889
"OR1_1114","GC3",5,0.0917839901535139,0.0470572756251628,0.237200337267888,0.003,0.0873012004394911,80.1388888888889,38.0555555555556,12.9166666666667,1.80555555555556,0.138888888888889
"OR1_1114","GC3",6,0.0917839901535139,0.0470572756251628,0.237200337267888,0.003,0.0873012004394911,80.1388888888889,38.0555555555556,12.9166666666667,1.80555555555556,0.138888888888889
"OR1_1114","GC4",1,0.0890228768062133,0.0439990632677023,0.218552053296234,0.00316227766016838,0.085152783584555,78.4722222222222,38.4722222222222,9.16666666666667,1.38888888888889,0
"OR1_1114","GS1",1,0.0835538669217633,0.0430477457881884,0.252253840406841,0.00282842712474619,0.0765897453295739,76.6666666666667,32.5,6.66666666666667,1.80555555555556,0.833333333333333
"OR1_1114","GS2",1,0.0630583956270357,0.0348768924438037,0.206939604715965,0.00282842712474619,0.0577147511016847,58.75,15,1.11111111111111,0.138888888888889,0
"OR1_1114","GS3",1,0.0518239261749314,0.0275378885934949,0.165529453572468,0.001,0.0474710294917022,47.5,4.30555555555556,0.277777777777778,0,0
"OR1_1114","GS4",1,0.0768945470327874,0.0363710138904056,0.177341478509682,0.00282842712474619,0.0752761493794788,74.4444444444444,26.5277777777778,3.05555555555556,0,0
"OR1_1126","GS1",1,0.0859520679237013,0.045026854205451,0.238027309357561,0.00316227766016838,0.0800779524570483,77.9166666666667,34.0277777777778,9.02777777777778,1.94444444444444,0.555555555555556
"OR1_1126","GS2",1,0.0629793148301233,0.0339845389566346,0.211151604303638,0.00316227766016838,0.0594726822105631,60.2777777777778,13.8888888888889,1.80555555555556,0.277777777777778,0
"OR1_1126","GS3",2,0.0560576465201988,0.0296658252022228,0.171735261376341,0.0014142135623731,0.0519326344110308,52.3611111111111,8.47222222222222,0.555555555555556,0,0
"OR1_1126","GS4",1,0.0732914837207693,0.0327725345947401,0.167358895789856,0.00316227766016838,0.0731231722288676,73.3333333333333,20.5555555555556,0.972222222222222,0,0
"OR1_1126","GC4",1,0.0738636139798459,0.0417514318374336,0.200122462507336,0.00509901951359279,0.0654599113962126,66.5277777777778,25.6944444444444,6.11111111111111,0.138888888888889,0
"OR1_1126","GC4",2,0.0738636139798459,0.0417514318374336,0.200122462507336,0.00509901951359279,0.0654599113962126,66.5277777777778,25.6944444444444,6.11111111111111,0.138888888888889,0
"OR1_1126","GC4",3,0.0738636139798459,0.0417514318374336,0.200122462507336,0.00509901951359279,0.0654599113962126,66.5277777777778,25.6944444444444,6.11111111111111,0.138888888888889,0
"OR1_1126","GC3",1,0.0904696380933639,0.0442063391061564,0.219312562339689,0.0014142135623731,0.0849234819203419,81.9444444444444,38.3333333333333,10.9722222222222,1.38888888888889,0
"OR1_1126","GC2",1,0.104095192002105,0.0584937085340799,0.286043702954636,0.00424264068711928,0.0951051677053461,80.2777777777778,46.8055555555556,22.6388888888889,7.5,2.36111111111111
"OR1_1126","GC1",1,0.106547501394032,0.0517252364489197,0.260432332862108,0.002,0.106181357606231,84.1666666666667,53.3333333333333,20.6944444444444,4.16666666666667,0.972222222222222
